District_Colline,Latitude,Longitude,"(Latitude,Longitude)"
Buhinyuza_Kiyange coop,-2.9570591,30.4026058,"-2.9570591,30.4026058"
Buhinyuza_Ntobwe coop,-2.942483,30.3980005,"-2.942483,30.3980005"
Buhinyuza_Kibimba,-3.0262929,30.3620479,"-3.0262929,30.3620479"
Buhinyuza_Nyaruhengeri,-3.0579651,30.3504788,"-3.0579651,30.3504788"
Buhinyuza_Karehe,-3.0268544,30.3861434,"-3.0268544,30.3861434"
Buhinyuza_Nyarunazi coop,-2.9996671,30.3777629,"-2.9996671,30.3777629"
Nyabikere_Ngugo coop,-3.2654245,30.1095643,"-3.2654245,30.1095643"
Ngozi_Kinyana,-2.8987367,29.79453,"-2.8987367,29.79453"
Nyabikere_Rwandagaro,-3.2812524,30.1201242,"-3.2812524,30.1201242"
Matongo_Nyarurama,-3.1885471,29.6453888,"-3.1885471,29.6453888"
Matongo_Nyarurama,-3.1050024,29.7220849,"-3.1050024,29.7220849"
Gahombo_Mudusi,-2.96929,29.6696286,"-2.96929,29.6696286"
Gahombo_,-2.9546583,29.6817898,"-2.9546583,29.6817898"
Nyarusange_Gitaramuka B coop,-3.6388177,29.7019775,"-3.6388177,29.7019775"
Nyarusange_Mashunzi coop,-3.6177967,29.685115,"-3.6177967,29.685115"
Nyabihanga_Ndava,-3.3786063,29.7806331,"-3.3786063,29.7806331"
Nyabihanga_Nyamurenge,-3.3242464,29.786215,"-3.3242464,29.786215"
Nyabihanga_Kamushiha,-3.3613666,29.7961925,"-3.3613666,29.7961925"
Nyabihanga_Matongo I,-3.3244152,29.7859086,"-3.3244152,29.7859086"
Nyabihanga_Matongo II,-3.3247657,29.7864385,"-3.3247657,29.7864385"
Nyabihanga_Nyabisaka,-3.324213,29.7861856,"-3.324213,29.7861856"
Gitaramuka_Gahashi,-2.9510408,30.243256,"-2.9510408,30.243256"
Gitaramuka_Gahahe,-2.942691,30.2636194,"-2.942691,30.2636194"
Bweru_Nzozi,-3.3541555,30.4138025,"-3.3541555,30.4138025"
Makebuko_Muyange,-3.5056031,29.9829722,"-3.5056031,29.9829722"
Makebuko_Muyange,-3.5056031,29.9829722,"-3.5056031,29.9829722"
Gasorwe_Bwasare,-2.8337167,30.188715,"-2.8337167,30.188715"
Gasorwe_Kaguhu,-2.8336835,30.1888635,"-2.8336835,30.1888635"
Gasorwe_Bwasare,-2.833691,30.1885935,"-2.833691,30.1885935"
Gasorwe_Karira,-2.8441233,30.2315684,"-2.8441233,30.2315684"
Makebuko_Muhororo,-3.6169342,29.9507956,"-3.6169342,29.9507956"
Mbuye_Kabuye,-3.2148123,29.801697,"-3.2148123,29.801697"
Mbuye_Murehe II,-3.2306208,29.8019576,"-3.2306208,29.8019576"
Nyabikere_Muhororo,-3.3266139,30.0604457,"-3.3266139,30.0604457"
Nyabikere_Maramvya coop,-3.2989025,30.0800791,"-3.2989025,30.0800791"
Nyabikere_Mbabazi coop,-3.2989483,30.0798875,"-3.2989483,30.0798875"
Bweru_Ruvyagira,-3.2861258,30.4511201,"-3.2861258,30.4511201"
Gitaramuka_Rusagara,-2.9210317,30.211446,"-2.9210317,30.211446"
Bweru_Bweru,-3.3424316,30.4340094,"-3.3424316,30.4340094"
Kabarore_Manga,-2.9018223,29.6310104,"-2.9018223,29.6310104"
Nyarusange_Kibiri Sangwe I Gitega Coops,-3.5280992,29.7503854,"-3.5280992,29.7503854"
Giteranyi_nonwe,-2.5095183,30.4172133,"-2.5095183,30.4172133"
Rango_Bushoka,-3.093862,29.8096127,"-3.093862,29.8096127"
Giteranyi_Masaka,-2.3597565,30.4286587,"-2.3597565,30.4286587"
Gitega_Nyamugari,-3.3145287,29.8291614,"-3.3145287,29.8291614"
Gitega_Kaguhu I,-3.2942165,29.8029465,"-3.2942165,29.8029465"
Gitega_Kaguhu II,-3.2943117,29.8033602,"-3.2943117,29.8033602"
Gitega_KIBIMBA,-3.2942743,29.8032161,"-3.2942743,29.8032161"
Rango_Gitamo,-3.0826917,29.8221362,"-3.0826917,29.8221362"
Gasorwe_Bunyarukiga,-2.733263,30.1892438,"-2.733263,30.1892438"
Gasorwe_Bunyarukiga,-2.733263,30.1892438,"-2.733263,30.1892438"
Gasorwe_Murama,-2.7334366,30.1889602,"-2.7334366,30.1889602"
Gasorwe_Murama,-2.7334366,30.1889602,"-2.7334366,30.1889602"
Gasorwe_Muzingi,-2.6809022,30.25235,"-2.6809022,30.25235"
